account_id,campaign,ad_pack,impressions,clicks,cost,views,install,orders,revenue,link_clicks,conversions,conversion_value,engagements,date,channel,request_id,updated_at
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1365,23,7833,0.0,240.65,0.0,0.0,23.0,3.0,143800.0,0.0,2025-01-01,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,34725,283,461277,4699.0,1318.86,0.0,0.0,283.0,5.71,386218.52,0.0,2025-01-01,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1521,19,3678,0.0,220.64,0.0,0.0,19.0,6.0,257000.0,0.0,2025-01-02,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,30747,245,491542,4346.0,1120.54,0.0,0.0,245.0,5.18,254366.5,0.0,2025-01-02,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1690,23,5954,0.0,653.61,0.0,0.0,23.0,6.0,278850.0,0.0,2025-01-03,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,29803,234,481787,3933.0,2014.16,0.0,0.0,234.0,16.43,1156980.21,0.0,2025-01-03,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1407,28,5589,0.0,231.0,0.0,0.0,28.0,4.0,376200.0,0.0,2025-01-04,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,29359,246,472440,4074.0,1716.75,0.0,0.0,246.0,11.98,846095.74,0.0,2025-01-04,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1796,18,4114,0.0,602.72,0.0,0.0,18.0,4.0,306280.0,0.0,2025-01-05,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,29879,299,480488,4089.0,1475.96,0.0,0.0,299.0,5.92,416296.44,0.0,2025-01-05,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1839,21,4228,0.0,355.32,0.0,0.0,21.0,4.0,212600.0,0.0,2025-01-06,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,27167,227,479668,3825.0,963.26,0.0,0.0,227.0,8.99,661972.34,0.0,2025-01-06,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1794,28,3970,0.0,257.58,0.0,0.0,28.0,8.0,430350.0,0.0,2025-01-07,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,26001,224,477866,3633.0,960.53,0.0,0.0,224.0,5.49,352891.69,0.0,2025-01-07,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1903,33,7712,0.0,701.91,0.0,0.0,33.0,7.0,359450.0,0.0,2025-01-08,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,27179,231,478621,3740.0,1204.36,0.0,0.0,231.0,2.23,134722.67,0.0,2025-01-08,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1912,40,8563,0.0,514.31,0.0,0.0,40.0,5.0,437950.0,0.0,2025-01-09,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,25930,232,476214,3559.0,4141.47,0.0,0.0,232.0,7.27,505279.97,0.0,2025-01-09,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,2060,28,5214,0.0,294.43,0.0,0.0,28.0,5.98,329918.23,0.0,2025-01-10,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,26929,235,475488,3654.0,1603.1,0.0,0.0,235.0,8.28,585869.08,0.0,2025-01-10,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,2368,25,7866,0.0,411.6,0.0,0.0,25.0,6.0,485372.0,0.0,2025-01-11,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,27606,257,474952,3939.0,1709.13,0.0,0.0,257.0,12.24,950347.18,0.0,2025-01-11,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,2664,33,9819,0.0,605.06,0.0,0.0,33.0,9.0,569400.0,0.0,2025-01-12,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,27190,258,472807,3778.0,1951.17,0.0,0.0,258.0,9.82,614538.62,0.0,2025-01-12,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,2153,30,7178,0.0,310.53,0.0,0.0,30.0,17.0,881946.0,0.0,2025-01-13,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,19986,202,372241,2978.0,1819.01,0.0,0.0,202.0,12.42,798565.55,0.0,2025-01-13,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,9,1,2,0.0,33.91,0.0,0.0,1.0,1.0,51550.0,0.0,2025-01-14,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,106,3,1314,26.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,2025-01-14,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,3,2,29,0.0,23.0,0.0,0.0,2.0,2.0,81600.0,0.0,2025-01-15,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디맨드젠__CEQ_1,디맨드젠_그룹_1,15,0,83,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-15,google||디맨드젠__CEQ_1(21853107252)||디맨드젠_그룹_1(172097071360,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1512,38,10574,0.0,529.09,0.0,0.0,38.0,5.0,474150.0,0.0,2025-01-22,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,1_닥터디퍼런트 키워드,닥터디퍼런트 키워드: 동적 광고그룹,1626,39,11536,0.0,640.05,0.0,0.0,39.0,5.0,270481.77,0.0,2025-01-23,google||1_닥터디퍼런트 키워드(14827975189)||닥터디퍼런트 키워드: 동적 광고그룹(143561546287,333,2025-05-23 13:32:45.042786
566-352-3778,디멘드젠_영상_250122,닥터디퍼런트 소재,1367,13,11147,143.0,165.57,0.0,0.0,13.0,0.26,53217.21,0.0,2025-01-23,google||디멘드젠_영상_250122(22155808690)||닥터디퍼런트 소재(176859033827,333,2025-05-23 13:32:45.042786
