account_id,campaign,impressions,clicks,cost,views,install,orders,revenue,link_clicks,conversions,conversion_value,engagements,date,channel,request_id,updated_at
566-352-3778,1_닥터디퍼런트 키워드,1365,23,7833,0,240.65,0.0,0.0,23.0,3.0,143800.0,0.0,2025-01-01,google||1_닥터디퍼런트 키워드(14827975189),333,2025-05-23 13:32:44.665270
566-352-3778,디맨드젠__CEQ_1,34725,283,461277,4699,1318.86,0.0,0.0,283.0,5.71,386218.52,0.0,2025-01-01,google||디맨드젠__CEQ_1(21853107252),333,2025-05-23 13:32:44.665270
566-352-3778,1_닥터디퍼런트 키워드,1521,19,3678,0,220.64,0.0,0.0,19.0,6.0,257000.0,0.0,2025-01-02,google||1_닥터디퍼런트 키워드(14827975189),333,2025-05-23 13:32:44.665270
566-352-3778,디맨드젠__CEQ_1,30747,245,491542,4346,1120.54,0.0,0.0,245.0,5.18,254366.5,0.0,2025-01-02,google||디맨드젠__CEQ_1(21853107252),333,2025-05-23 13:32:44.665270
566-352-3778,1_닥터디퍼런트 키워드,1690,23,5954,0,653.61,0.0,0.0,23.0,6.0,278850.0,0.0,2025-01-03,google||1_닥터디퍼런트 키워드(14827975189),333,2025-05-23 13:32:44.665270
566-352-3778,디맨드젠__CEQ_1,29803,234,481787,3933,2014.16,0.0,0.0,234.0,16.43,1156980.21,0.0,2025-01-03,google||디맨드젠__CEQ_1(21853107252),333,2025-05-23 13:32:44.665270
566-352-3778,1_닥터디퍼런트 키워드,1407,28,5589,0,231.0,0.0,0.0,28.0,4.0,376200.0,0.0,2025-01-04,google||1_닥터디퍼런트 키워드(14827975189),333,2025-05-23 13:32:44.665270
566-352-3778,디맨드젠__CEQ_1,29359,246,472440,4074,1716.75,0.0,0.0,246.0,11.98,846095.74,0.0,2025-01-04,google||디맨드젠__CEQ_1(21853107252),333,2025-05-23 13:32:44.665270
566-352-3778,1_닥터디퍼런트 키워드,1796,18,4114,0,602.72,0.0,0.0,18.0,4.0,306280.0,0.0,2025-01-05,google||1_닥터디퍼런트 키워드(14827975189),333,2025-05-23 13:32:44.665270
566-352-3778,디맨드젠__CEQ_1,29879,299,480488,4089,1475.96,0.0,0.0,299.0,5.92,416296.44,0.0,2025-01-05,google||디맨드젠__CEQ_1(21853107252),333,2025-05-23 13:32:44.665270
566-352-3778,1_닥터디퍼런트 키워드,1839,21,4228,0,355.32,0.0,0.0,21.0,4.0,212600.0,0.0,2025-01-06,google||1_닥터디퍼런트 키워드(14827975189),333,2025-05-23 13:32:44.665270
566-352-3778,디맨드젠__CEQ_1,27167,227,479668,3825,963.26,0.0,0.0,227.0,8.99,661972.34,0.0,2025-01-06,google||디맨드젠__CEQ_1(21853107252),333,2025-05-23 13:32:44.665270
566-352-3778,1_닥터디퍼런트 키워드,1794,28,3970,0,257.58,0.0,0.0,28.0,8.0,430350.0,0.0,2025-01-07,google||1_닥터디퍼런트 키워드(14827975189),333,2025-05-23 13:32:44.665270
566-352-3778,디맨드젠__CEQ_1,26001,224,477866,3633,960.53,0.0,0.0,224.0,5.49,352891.69,0.0,2025-01-07,google||디맨드젠__CEQ_1(21853107252),333,2025-05-23 13:32:44.665270
566-352-3778,1_닥터디퍼런트 키워드,1903,33,7712,0,701.91,0.0,0.0,33.0,7.0,359450.0,0.0,2025-01-08,google||1_닥터디퍼런트 키워드(14827975189),333,2025-05-23 13:32:44.665270
566-352-3778,디맨드젠__CEQ_1,27179,231,478621,3740,1204.36,0.0,0.0,231.0,2.23,134722.67,0.0,2025-01-08,google||디맨드젠__CEQ_1(21853107252),333,2025-05-23 13:32:44.665270
